certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Fresh,117,"User Ratings: 767,639",63%,Bring It On,66%
Rotten,72,"User Ratings: 33,522",19%,Autumn in New York,54%
Rotten,93,"User Ratings: 192,208",32%,Romeo Must Die,61%
Certified Fresh,74,"User Ratings: 58,372",76%,Rugrats in Paris - The Movie,56%
Rotten,111,"User Ratings: 53,543",24%,Mission to Mars,30%
Rotten,124,"Verified Ratings: 7,727",32%,Shaft,94%
Certified Fresh,117,"User Ratings: 280,558",85%,Billy Elliot,89%
Rotten,95,"User Ratings: 483,461",35%,Final Destination,68%
Rotten,104,"User Ratings: 698,920",23%,Coyote Ugly,71%
Rotten,128,"User Ratings: 194,667",53%,The Family Man,67%
Certified Fresh,119,"User Ratings: 72,925",78%,Space Cowboys,53%
Fresh,134,"User Ratings: 578,123",73%,Remember the Titans,93%
Rotten,99,"User Ratings: 448,894",47%,"Me, Myself & Irene",57%
Fresh,117,"User Ratings: 328,901",62%,Chocolat,83%
Rotten,122,"User Ratings: 404,732",39%,Scream 3,37%
Rotten,88,"User Ratings: 231,617",26%,Nutty Professor II: The Klumps,33%
Certified Fresh,130,"User Ratings: 450,312",85%,The Emperor's New Groove,83%
Rotten,81,"User Ratings: 475,711",30%,Big Momma's House,57%
Rotten,117,"User Ratings: 366,703",27%,Hollow Man,28%
Rotten,115,"User Ratings: 975,510",42%,Miss Congeniality,69%
Rotten,110,"User Ratings: 59,837",48%,Vertical Limit,41%
Certified Fresh,154,"User Ratings: 427,316",97%,"Crouching Tiger, Hidden Dragon",86%
DNE,N/A,User Ratings: 25,,The Patriot,0%
Certified Fresh,171,"User Ratings: 548,679",97%,Chicken Run,64%
Fresh,170,"User Ratings: 290,953",70%,Unbreakable,77%
Certified Fresh,145,"User Ratings: 418,596",84%,Erin Brockovich,81%
Fresh,145,"User Ratings: 729,137",68%,Charlie's Angels,45%
Rotten,116,"User Ratings: 32,582,014",53%,Scary Movie,43%
Rotten,125,"User Ratings: 278,950",46%,What Lies Beneath,58%
Rotten,135,"User Ratings: 279,181",47%,The Perfect Storm,64%
Certified Fresh,148,"User Ratings: 1,056,488",84%,Meet the Parents,79%
Rotten,140,"User Ratings: 949,020",50%,Dr. Seuss' How the Grinch Stole Christmas,56%
DNE,N/A,Ratings: Not yet available,,Dinosaur!,
Rotten,122,"User Ratings: 629,087",54%,What Women Want,54%
Certified Fresh,156,"User Ratings: 743,781",88%,Cast Away,84%
Certified Fresh,195,"User Ratings: 34,128,168",76%,Gladiator,87%
Rotten,150,"User Ratings: 451,861",57%,Mission: Impossible 2,43%
Certified Fresh,77,"User Ratings: 69,962",88%,Boys Don't Cry,87%
Rotten,41,"User Ratings: 21,106",54%,The Legend of 1900 (La leggenda del pianista sull'oceano),92%
Rotten,36,"User Ratings: 59,051",28%,Drive Me Crazy,53%
Fresh,104,"User Ratings: 65,026",67%,Stir of Echoes,70%
Fresh,91,"User Ratings: 42,863",63%,Arlington Road,74%
DNE,N/A,Ratings: Not yet available,,Midsummer Night's Dream,
Fresh,57,"User Ratings: 34,770",61%,The Wood,92%
DNE,N/A,User Ratings: 209,,Extreme,80%
Rotten,80,"User Ratings: 214,675",57%,Blast From the Past,56%
DNE,N/A,User Ratings: 69,,Galapagos,92%
Rotten,117,"User Ratings: 30,677",26%,The Story of Us,58%
Rotten,44,"User Ratings: 82,193",2%,Baby Geniuses,24%
Rotten,49,"User Ratings: 49,404",29%,The Other Sister,72%
Certified Fresh,65,"User Ratings: 308,093",75%,"Lock, Stock and Two Smoking Barrels",93%
Fresh,8,User Ratings: 37,75%,Go Karts (Go!),62%
Rotten,114,"User Ratings: 242,640",54%,"Girl, Interrupted",84%
DNE,N/A,User Ratings: 101,,Virus,19%
DNE,N/A,User Ratings: 37,,Superstar,57%
Certified Fresh,141,"User Ratings: 204,745",96%,The Iron Giant,90%
DNE,N/A,User Ratings: 12,,Ideal Husband,50%
