certified_status,count_critic_review,count_user_review,critic_score,movie_name,user_score
Certified Fresh,55,"User Ratings: 378,834",76%,Air Force One,66%
Rotten,87,"User Ratings: 231,006",57%,Tomorrow Never Dies,53%
Certified Fresh,88,"User Ratings: 1,049,252",92%,Men in Black,79%
Rotten,75,"User Ratings: 651,600",52%,The Lost World - Jurassic Park,51%
Certified Fresh,191,"User Ratings: 35,797,635",89%,Titanic,69%
Rotten,34,"User Ratings: 11,000",56%,Extreme Measures,40%
Rotten,30,"User Ratings: 50,076",37%,Last Man Standing,51%
Fresh,23,"User Ratings: 1,606",78%,Fan,77%
Rotten,36,"User Ratings: 40,106",6%,Kazaam,20%
Rotten,16,"User Ratings: 20,019",19%,Bed of Roses,67%
DNE,N/A,User Ratings: 40,,Okaasan (Mother),100%
Rotten,26,"User Ratings: 65,799",31%,Don't Be a Menace to South Central While Drinking Your Juice in The Hood,80%
Rotten,32,"User Ratings: 8,164",16%,Fled,23%
Rotten,46,"User Ratings: 48,278",43%,Multiplicity,49%
Certified Fresh,56,"User Ratings: 44,417",88%,The People Vs. Larry Flynt,80%
Rotten,25,"User Ratings: 11,446",56%,City Hall,38%
DNE,N/A,User Ratings: 33,,La paura (Fear),41%
Rotten,16,"User Ratings: 36,188",19%,High School High,37%
Rotten,34,"User Ratings: 62,600",53%,A Very Brady Sequel,35%
DNE,N/A,Ratings: Not yet available,,Quest,
DNE,N/A,Ratings: Not yet available,,Bulletproof,
Rotten,60,"User Ratings: 8,757",47%,My Fellow Americans,64%
Rotten,21,"User Ratings: 15,176",19%,The Juror,31%
Rotten,15,"User Ratings: 175,032",20%,D3: The Mighty Ducks,45%
DNE,N/A,User Ratings: 72,,In Love and War,33%
Rotten,34,"User Ratings: 40,155",12%,Down Periscope,62%
Fresh,49,"User Ratings: 273,711",63%,From Dusk Till Dawn,76%
Rotten,13,"User Ratings: 35,767",23%,First Kid,32%
DNE,N/A,Ratings: Not yet available,,An Eye for an Eye,
Rotten,40,"User Ratings: 37,900",8%,Spy Hard,31%
Certified Fresh,47,"User Ratings: 21,316",77%,Michael Collins,84%
DNE,N/A,Ratings: Not yet available,,Flipper,
Rotten,34,"User Ratings: 24,812",18%,Eddie,36%
DNE,N/A,User Ratings: 43,,Kingpin,67%
Fresh,95,"User Ratings: 42,874",72%,Black Sheep,53%
DNE,N/A,User Ratings: 120,,Matilda,59%
Fresh,54,"User Ratings: 62,297",69%,The Long Kiss Goodnight,70%
Fresh,39,"User Ratings: 52,487",85%,The Truth About Cats & Dogs,56%
Certified Fresh,52,"User Ratings: 56,081",96%,Sling Blade,92%
Fresh,26,"User Ratings: 81,785",73%,Muppet Treasure Island,77%
Certified Fresh,57,"User Ratings: 126,474",93%,That Thing You Do!,78%
Certified Fresh,43,"User Ratings: 24,855",79%,Everyone Says I Love You,68%
Rotten,25,"User Ratings: 14,694",12%,A Thin Line Between Love and Hate,77%
Fresh,27,"User Ratings: 55,060",67%,Set It Off,90%
Certified Fresh,55,"User Ratings: 59,572",80%,Rumble in the Bronx,64%
Rotten,26,"User Ratings: 20,789",12%,The Glimmer Man,38%
Certified Fresh,46,"User Ratings: 58,676",87%,Fly Away Home,70%
Certified Fresh,44,"User Ratings: 30,873",91%,Shine,90%
DNE,N/A,Ratings: Not yet available,,The Adventures of Pinocchio,
DNE,N/A,Ratings: Not yet available,,Emma,
Rotten,39,"User Ratings: 32,937",31%,Sgt. Bilko,47%
Rotten,47,"User Ratings: 53,590",51%,The Ghost and the Darkness,75%
Fresh,54,"User Ratings: 990,686",61%,Happy Gilmore,85%
Rotten,33,"User Ratings: 9,508",55%,The Mirror Has Two Faces,72%
Fresh,45,"User Ratings: 29,406",60%,The Preacher's Wife,52%
Rotten,34,"User Ratings: 11,520",29%,Maximum Risk,34%
Certified Fresh,92,"User Ratings: 234,097",93%,Fargo,93%
Rotten,56,"User Ratings: 259,849",55%,The Craft,65%
DNE,N/A,Ratings: Not yet available,,Chain Reaction,
Fresh,53,"User Ratings: 301,830",72%,Beavis and Butt-head Do America,69%
Certified Fresh,85,"User Ratings: 313,648",91%,Trainspotting,93%
Fresh,50,"User Ratings: 49,146",70%,Tin Cup,65%
Rotten,35,"User Ratings: 16,519",31%,Up Close & Personal,66%
Certified Fresh,54,"User Ratings: 46,869",85%,Courage Under Fire,66%
Rotten,82,"User Ratings: 436,416",54%,Mars Attacks!,53%
DNE,N/A,Ratings: Not yet available,,Primal Fear,
Rotten,77,"User Ratings: 471,323",53%,The Cable Guy,51%
Rotten,30,"User Ratings: 326,599",50%,Dragonheart,60%
Rotten,69,"User Ratings: 53,976",12%,Striptease,24%
Fresh,39,"User Ratings: 2,186",79%,Michael,67%
Fresh,39,"User Ratings: 41,019",64%,Executive Decision,53%
Rotten,46,"User Ratings: 228,560",15%,Jingle All the Way,38%
DNE,N/A,Ratings: Not yet available,,Romeo & Juliet,
Certified Fresh,57,"User Ratings: 100,631",93%,Star Trek: First Contact,89%
Fresh,38,"User Ratings: 54,422",63%,Evita,68%
Rotten,36,"User Ratings: 101,856",50%,Phenomenon,59%
Rotten,40,"User Ratings: 53,580",25%,Daylight,37%
DNE,N/A,Ratings: Not yet available,,Sleepers,
Rotten,72,"User Ratings: 62,615",50%,The First Wives Club,68%
Certified Fresh,48,"User Ratings: 104,947",79%,The Birdcage,81%
Certified Fresh,87,"User Ratings: 81,664",85%,The English Patient,83%
Rotten,48,"User Ratings: 126,707",35%,Eraser,39%
Rotten,76,"User Ratings: 655,485",43%,Space Jam,63%
Certified Fresh,82,"User Ratings: 442,368",83%,Jerry Maguire,79%
DNE,N/A,"User Ratings: 2,033",,The Nutty Professor,30%
Certified Fresh,49,"User Ratings: 709,239",98%,101 Dalmatians,76%
DNE,N/A,Ratings: Not yet available,,Ransom,
DNE,N/A,Ratings: Not yet available,,The Hunchback of Notre Dame,
DNE,N/A,Ratings: Not yet available,,Rock (and roll) isn't only rock and roll,
Fresh,58,"User Ratings: 867,211",64%,Mission: Impossible,71%
Certified Fresh,57,"User Ratings: 10,480",88%,Devil in a Blue Dress,70%
Fresh,6,Ratings: Not yet available,100%,Prophecy,
Rotten,36,"User Ratings: 21,989",50%,Murder in the First,80%
Rotten,5,"User Ratings: 36,202",0%,The Big Green,46%
Rotten,40,"User Ratings: 21,787",38%,Cutthroat Island,40%
Rotten,31,"User Ratings: 51,872",13%,Johnny Mnemonic,31%
DNE,N/A,Ratings: Not yet available,,It Takes Two,
Rotten,29,"User Ratings: 51,400",10%,Vampire in Brooklyn,31%
DNE,N/A,Ratings: Not yet available,,Sudden Death,
Rotten,56,"User Ratings: 51,560",46%,Kids,77%
Fresh,36,"User Ratings: 63,847",69%,Don Juan DeMarco,68%
Fresh,35,"User Ratings: 35,206",74%,Boys on the Side,69%
Fresh,33,"User Ratings: 11,392",61%,How to Make an American Quilt,63%
Rotten,8,"User Ratings: 39,483",25%,Tom and Huck,42%
Rotten,31,"User Ratings: 30,266",32%,Virtuosity,32%
Rotten,32,"User Ratings: 30,195",44%,Dead Presidents,78%
Certified Fresh,43,"User Ratings: 30,247",84%,Dolores Claiborne,81%
Rotten,26,"User Ratings: 31,993",31%,Operation Dumbo Drop,29%
Rotten,47,"User Ratings: 765,828",40%,Billy Madison,79%
Fresh,42,"User Ratings: 188,309",62%,Desperado,79%
Fresh,35,"User Ratings: 21,089",77%,Mighty Aphrodite,73%
DNE,N/A,User Ratings: 146,,Fair Game,43%
Rotten,21,"User Ratings: 11,131",14%,Houseguest,55%
Rotten,18,"User Ratings: 76,141",28%,Now and Then,83%
DNE,N/A,Ratings: Not yet available,,To Die For,
Fresh,27,"User Ratings: 265,593",78%,Friday,91%
Rotten,12,"User Ratings: 162,804",33%,Major Payne,68%
Rotten,16,"User Ratings: 69,086",31%,Free Willy 2: The Adventure Home,42%
Rotten,20,"User Ratings: 51,690",50%,Powder,69%
Rotten,43,"User Ratings: 252,361",42%,Tommy Boy,90%
Rotten,34,"User Ratings: 9,804",50%,Forget Paris,56%
DNE,N/A,Ratings: Not yet available,,Wings of Courage,
Certified Fresh,73,"User Ratings: 434,783",89%,The Usual Suspects,96%
Certified Fresh,62,"User Ratings: 12,621",74%,Nixon,74%
Rotten,27,"User Ratings: 357,916",59%,A Goofy Movie,70%
Fresh,22,"User Ratings: 60,727",73%,The Indian in the Cupboard,40%
DNE,N/A,User Ratings: 544,,Across the Sea of Time,75%
Rotten,37,"User Ratings: 50,648",41%,"To Wong Foo, Thanks for Everything! Julie Newmar",71%
Rotten,30,"User Ratings: 14,311",23%,Just Cause,46%
Rotten,54,"User Ratings: 56,830",22%,Showgirls,37%
Rotten,35,"User Ratings: 50,066",37%,Mighty Morphin Power Rangers: The Movie,56%
Rotten,40,"User Ratings: 20,710",45%,Higher Learning,74%
Rotten,67,"User Ratings: 61,604",9%,Man of the House,46%
Fresh,42,"User Ratings: 48,538",62%,The Brady Bunch Movie,46%
Certified Fresh,52,"User Ratings: 56,508",90%,Leaving Las Vegas,85%
Rotten,27,"User Ratings: 62,209",44%,A Walk in the Clouds,75%
Certified Fresh,65,"User Ratings: 555,827",80%,Clueless,76%
Rotten,18,"User Ratings: 70,138",17%,Grumpier Old Men,62%
Rotten,21,"User Ratings: 203,060",48%,Father of the Bride: Part II,60%
Rotten,32,"User Ratings: 50,171",22%,Money Train,29%
Rotten,28,"User Ratings: 42,009",39%,Something to Talk About,52%
Rotten,27,"User Ratings: 38,214",56%,Waiting to Exhale,79%
DNE,N/A,User Ratings: 35,,Dead Man Walking,62%
Rotten,48,"User Ratings: 60,252",15%,Assassins,45%
DNE,N/A,User Ratings: 40,,Sabrina,33%
Rotten,25,"User Ratings: 54,938",48%,French Kiss,74%
Rotten,31,"User Ratings: 47,500",35%,Under Siege 2: Dark Territory,38%
Fresh,28,"User Ratings: 54,730",75%,Mr. Holland's Opus,83%
Certified Fresh,55,"User Ratings: 55,054",91%,The American President,77%
DNE,N/A,Ratings: Not yet available,,Casino,
Rotten,48,"User Ratings: 102,460",40%,The Net,44%
Rotten,65,"User Ratings: 49,600",43%,Species,31%
Rotten,52,"User Ratings: 132,521",17%,Judge Dredd,30%
Certified Fresh,55,"User Ratings: 62,075",87%,Get Shorty,70%
Rotten,38,"User Ratings: 311,637",47%,Mortal Kombat,58%
Rotten,45,"User Ratings: 166,052",44%,First Knight,55%
Rotten,27,"User Ratings: 60,574",26%,Nine Months,37%
Rotten,49,"User Ratings: 60,495",22%,Congo,29%
Certified Fresh,50,"User Ratings: 61,296",88%,Crimson Tide,83%
Certified Fresh,67,"User Ratings: 390,956",90%,Twelve Monkeys (12 Monkeys),88%
Certified Fresh,58,"User Ratings: 48,168",90%,The Bridges of Madison County,87%
Rotten,39,"User Ratings: 103,000",28%,Dangerous Minds,64%
Certified Fresh,58,"User Ratings: 216,546",79%,While You Were Sleeping,79%
DNE,N/A,Ratings: Not yet available,,Upal (Heat),
Rotten,61,"User Ratings: 104,989",59%,Outbreak,56%
DNE,N/A,Ratings: Not yet available,,Braveheart,
Rotten,25,"User Ratings: 933,375",32%,Ace Ventura - When Nature Calls,72%
Certified Fresh,229,"User Ratings: 39,203",76%,Jumanji: Welcome to the Jungle,87%
Rotten,58,"User Ratings: 230,505",45%,Waterworld,43%
Rotten,37,"User Ratings: 381,043",46%,Casper,49%
Certified Fresh,88,"User Ratings: 432,887",95%,Apollo 13,87%
Rotten,67,"User Ratings: 608,928",39%,Batman Forever,32%
DNE,N/A,Ratings: Not yet available,,Pocahontas,
Certified Fresh,77,"User Ratings: 285,559",78%,GoldenEye,83%
Certified Fresh,89,"User Ratings: 1,109,209",100%,Toy Story,92%
Rotten,62,"User Ratings: 411,546",52%,Die Hard: With a Vengeance,83%
Rotten,19,"User Ratings: 7,824",32%,Greedy,47%
Certified Fresh,58,"User Ratings: 17,011",97%,Bullets Over Broadway,83%
Rotten,25,"User Ratings: 8,748",28%,Threesome,56%
Rotten,41,"User Ratings: 43,213",56%,The Hudsucker Proxy,79%
Certified Fresh,44,"User Ratings: 8,362",93%,The Madness of King George,80%
Rotten,141,"User Ratings: 24,370",2%,Getaway,35%
Rotten,27,"User Ratings: 60,993",7%,The Next Karate Kid,24%
Rotten,19,"User Ratings: 30,685",53%,Above the Rim,83%
Rotten,12,"User Ratings: 29,271",50%,Monkey Trouble,41%
Rotten,25,"User Ratings: 12,371",20%,Terminal Velocity,22%
Rotten,59,"User Ratings: 293,183",14%,War (Rogue Assassin),51%
Rotten,15,"User Ratings: 69,700",27%,My Girl 2,46%
Rotten,15,"User Ratings: 186,230",20%,Baby's Day Out,51%
Fresh,24,"User Ratings: 4,600",63%,Blink,45%
Rotten,18,"User Ratings: 34,349",50%,Andre,53%
Rotten,17,"User Ratings: 12,195",6%,Lightning Jack,46%
Rotten,16,"User Ratings: 9,676",50%,No Escape,41%
Rotten,30,"User Ratings: 17,469",3%,Getting Even With Dad,25%
DNE,N/A,Ratings: Not yet available,,Love Affair,
Rotten,9,"User Ratings: 9,421",0%,House Party 3,68%
Rotten,11,"User Ratings: 59,372",36%,Little Giants,63%
Rotten,14,"User Ratings: 20,194",21%,The Cowboy Way,59%
Rotten,49,"User Ratings: 17,075",22%,Color of Night,30%
Rotten,33,"User Ratings: 21,746",52%,Only You,68%
Rotten,24,"User Ratings: 20,988",17%,With Honors,73%
Fresh,57,"User Ratings: 53,127",65%,Reality Bites,74%
Rotten,18,"User Ratings: 48,318",39%,"Corrina, Corrina",69%
Rotten,28,"User Ratings: 4,521",11%,Speechless,34%
Fresh,13,"User Ratings: 33,669",62%,Iron Will,65%
Rotten,32,"User Ratings: 5,890",9%,Intersection,40%
Rotten,28,"User Ratings: 19,843",21%,The Air Up There,35%
Fresh,23,"User Ratings: 9,139",61%,Jason's Lyric,91%
Rotten,13,"User Ratings: 56,350",31%,8 Seconds,94%
Rotten,27,"User Ratings: 7,837",37%,Blue Chips,51%
Rotten,25,"User Ratings: 30,515",12%,Renaissance Man,53%
Certified Fresh,55,"User Ratings: 31,573",96%,Quiz Show,87%
Rotten,14,"User Ratings: 14,297",14%,"My Father, the Hero",54%
Rotten,35,"User Ratings: 19,723",57%,Guarding Tess,48%
Certified Fresh,72,"User Ratings: 886,032",90%,The Shawshank Redemption,98%
Rotten,22,"User Ratings: 19,255",41%,Drop Zone,31%
Rotten,32,"User Ratings: 44,256",6%,In the Army Now,44%
Rotten,22,"User Ratings: 29,762",0%,A Low Down Dirty Shame,71%
Rotten,11,"User Ratings: 96,322",9%,Blank Check,35%
DNE,N/A,Ratings: Not yet available,,Shadow,
Rotten,33,"User Ratings: 37,607",55%,Nell,64%
DNE,N/A,Ratings: Not yet available,,It Could Happen to You,
Rotten,21,"User Ratings: 228,274",24%,Richie Rich,31%
Rotten,31,"User Ratings: 32,947",10%,On Deadly Ground,34%
Rotten,22,"User Ratings: 61,829",18%,City Slickers 2 - The Legend of Curly's Gold,31%
Rotten,15,"User Ratings: 347,364",20%,D2: The Mighty Ducks,59%
Certified Fresh,47,"User Ratings: 47,556",96%,Miracle on 34th Street,87%
Fresh,34,"User Ratings: 7,297",88%,The Paper,65%
DNE,N/A,Ratings: Not yet available,,Little Women,
Fresh,21,"User Ratings: 41,260",71%,When a Man Loves a Woman,78%
Rotten,38,"User Ratings: 217,340",47%,Natural Born Killers,81%
Certified Fresh,56,"User Ratings: 377,195",82%,The Crow,90%
Rotten,46,"User Ratings: 20,353",22%,I Love Trouble,33%
Rotten,13,"User Ratings: 228,118",23%,The Little Rascals,70%
Rotten,32,"User Ratings: 46,920",56%,The River Wild,51%
Fresh,5,"User Ratings: 6,794",80%,The Street Fighter,82%
Rotten,42,"User Ratings: 57,687",45%,Timecop,36%
Rotten,59,"User Ratings: 33,204,120",47%,Ace Ventura: Pet Detective,57%
DNE,N/A,Ratings: Not yet available,,Junior,
DNE,N/A,User Ratings: 113,,Frankenstein,0%
Fresh,36,"User Ratings: 55,714",78%,The Client,69%
Rotten,56,"User Ratings: 70,475",50%,Star Trek Generations,57%
DNE,N/A,Ratings: Not yet available,,The Wolf,
Rotten,57,"User Ratings: 184,207",58%,Legends of the Fall,87%
DNE,N/A,Ratings: Not yet available,,The Specialist,
Fresh,53,"User Ratings: 160,968",66%,Maverick,71%
Certified Fresh,56,"User Ratings: 369,360",71%,The Santa Clause,65%
Rotten,45,"User Ratings: 192,537",51%,Stargate,73%
Certified Fresh,42,"User Ratings: 61,712",79%,Clear and Present Danger,74%
Rotten,60,"User Ratings: 31,484",58%,Disclosure,41%
Certified Fresh,103,"User Ratings: 1,127,320",92%,Pulp Fiction,96%
Certified Fresh,67,"User Ratings: 184,978",96%,Four Weddings and a Funeral,74%
Fresh,52,"User Ratings: 1,028,208",67%,Dumb and Dumber,84%
DNE,N/A,"User Ratings: 1,348",,Speed,62%
Fresh,28,"User Ratings: 43,994",93%,Mask,83%
Fresh,50,"User Ratings: 265,755",70%,True Lies,76%
Fresh,101,"User Ratings: 1,244,237",70%,Forrest Gump,95%
Certified Fresh,128,"User Ratings: 1,269,333",93%,The Lion King,93%
Rotten,20,"User Ratings: 9,667",35%,Judgment Night,54%
Certified Fresh,54,"User Ratings: 192,320",93%,True Romance,93%
Rotten,12,"User Ratings: 8,836",25%,Life with Mikey,40%
Rotten,18,"User Ratings: 9,266",33%,Undercover Blues,66%
Rotten,29,"User Ratings: 37,254",10%,Weekend at Bernie's II,41%
Rotten,11,"User Ratings: 10,232",45%,A Far Off Place,69%
Rotten,83,"User Ratings: 4,698",36%,Crush,58%
Rotten,6,"User Ratings: 4,122",17%,Knight Moves,39%
Rotten,38,"User Ratings: 8,479",8%,Body of Evidence,22%
Rotten,26,"User Ratings: 17,076",31%,Needful Things,44%
Rotten,17,"User Ratings: 59,541",24%,Jason Goes to Hell - The Final Friday,24%
Rotten,22,"User Ratings: 19,543",55%,Heart and Souls,76%
Rotten,10,"User Ratings: 7,252",10%,Sidekicks,48%
Fresh,30,"User Ratings: 66,770",97%,A Bronx Tale,93%
Rotten,22,"User Ratings: 10,461",55%,CB4,62%
Rotten,21,"User Ratings: 7,994",48%,Geronimo - An American Legend,51%
Rotten,26,"User Ratings: 20,435",54%,Untamed Heart,77%
Rotten,19,"User Ratings: 20,758",42%,Fire in the Sky,57%
Rotten,25,"User Ratings: 19,532",16%,Another Stakeout,28%
Rotten,40,"User Ratings: 173,224",23%,Super Mario Bros.,29%
Rotten,31,"User Ratings: 203,446",35%,Coneheads,37%
Fresh,48,"User Ratings: 218,525",73%,Army of Darkness,87%
Rotten,16,"User Ratings: 2,754",38%,Guilty as Sin,33%
Certified Fresh,46,"User Ratings: 127,240",78%,Rudy,90%
Rotten,21,"User Ratings: 12,016",43%,The Program,80%
Fresh,34,"User Ratings: 143,464",71%,Benny & Joon,85%
Rotten,23,"User Ratings: 27,214",17%,Striking Distance,35%
Fresh,15,"User Ratings: 20,396",73%,The Adventures of Huck Finn,50%
Fresh,23,"User Ratings: 44,820",65%,The Man Without a Face,64%
Certified Fresh,50,"User Ratings: 41,294",94%,In the Name of the Father,95%
Fresh,30,"User Ratings: 10,039",97%,Shadowlands,89%
Rotten,32,"User Ratings: 38,427",34%,Poetic Justice,83%
Rotten,24,"User Ratings: 17,691",42%,My Life,74%
Fresh,37,"User Ratings: 62,670",84%,Menace II Society,93%
DNE,N/A,Ratings: Not yet available,,Point of No Return,
Fresh,33,"User Ratings: 41,919",79%,A Perfect World,84%
Rotten,14,"User Ratings: 24,684",14%,Cop & 1/2,34%
Rotten,33,"User Ratings: 35,808",55%,Hard Target,49%
Certified Fresh,54,"User Ratings: 23,898",83%,The Age of Innocence,75%
Fresh,54,"User Ratings: 261,416",61%,The Sandlot,89%
Fresh,36,"User Ratings: 27,695",86%,The Joy Luck Club,89%
Fresh,21,"User Ratings: 57,774",71%,Dragon: The Bruce Lee Story,79%
Rotten,42,"User Ratings: 322,742",40%,Robin Hood: Men in Tights,81%
DNE,N/A,Ratings: Not yet available,,Alive,
Certified Fresh,47,"User Ratings: 124,594",81%,Carlito's Way,91%
Certified Fresh,53,"User Ratings: 52,258",96%,What's Love Got To Do With It?,88%
Rotten,50,"User Ratings: 346,245",34%,Hocus Pocus,71%
Certified Fresh,60,"User Ratings: 48,447",92%,The Piano,86%
Certified Fresh,53,"User Ratings: 92,454",74%,Falling Down,84%
Fresh,30,"User Ratings: 266,869",87%,Homeward Bound - The Incredible Journey,71%
Rotten,31,"User Ratings: 92,035",23%,Teenage Mutant Ninja Turtles III,34%
Rotten,27,"User Ratings: 52,871",26%,The Good Son,54%
Rotten,29,"User Ratings: 11,414",59%,Malice,46%
Certified Fresh,51,"User Ratings: 386,654",76%,Addams Family Values,63%
DNE,N/A,User Ratings: 889,,Fortress,74%
Fresh,44,"User Ratings: 294,715",61%,Wayne's World 2,63%
Rotten,13,"User Ratings: 68,661",23%,Beethoven's 2nd,30%
Rotten,20,"User Ratings: 51,246",35%,Rookie of the Year,52%
Certified Fresh,46,"User Ratings: 195,407",74%,Tombstone,94%
Rotten,30,"User Ratings: 395,160",7%,Sister Act 2: Back in the Habit,61%
Rotten,40,"User Ratings: 35,822",33%,Rising Sun,40%
Certified Fresh,59,"User Ratings: 42,793",95%,Dave,72%
Certified Fresh,42,"User Ratings: 24,316",95%,The Remains of the Day,89%
Fresh,40,"User Ratings: 154,180",63%,Grumpy Old Men,74%
Certified Fresh,79,"User Ratings: 416,527",96%,Groundhog Day,88%
Certified Fresh,94,"User Ratings: 968,279",95%,The Nightmare Before Christmas,91%
Rotten,27,"User Ratings: 17,516",11%,Sliver,28%
Rotten,26,"User Ratings: 256,432",27%,Dennis the Menace,38%
Rotten,30,"User Ratings: 87,546",57%,Hot Shots! Part Deux,63%
Rotten,47,"User Ratings: 196,860",36%,Last Action Hero,47%
Fresh,26,"User Ratings: 13,519",62%,Sommersby,60%
Rotten,24,"User Ratings: 721,072",58%,Free Willy,50%
DNE,N/A,User Ratings: 231,,Cool Runnings: A Reggae Movie,43%
Rotten,41,"User Ratings: 270,417",59%,Demolition Man,66%
Certified Fresh,67,"User Ratings: 55,018",96%,In the Line of Fire,79%
Rotten,53,"User Ratings: 75,619",53%,The Pelican Brief,61%
Certified Fresh,55,"User Ratings: 183,283",80%,Philadelphia,89%
Fresh,57,"User Ratings: 297,239",74%,Sleepless in Seattle,75%
DNE,N/A,Ratings: Not yet available,,The Cliffhanger,
Rotten,46,"User Ratings: 46,380",35%,Indecent Proposal,47%
Certified Fresh,97,"User Ratings: 411,378",97%,Schindler's List,97%
Fresh,51,"User Ratings: 1,029,264",71%,Mrs. Doubtfire,77%
Certified Fresh,125,"User Ratings: 1,070,586",91%,Jurassic Park,91%
Rotten,22,"User Ratings: 19,710",41%,Pure Country,90%
Certified Fresh,55,"User Ratings: 40,961",95%,Glengarry Glen Ross,88%
Rotten,15,"User Ratings: 8,210",40%,Stay Tuned,55%
Rotten,9,"User Ratings: 1,142",33%,Whispers in the Dark,34%
Fresh,9,"User Ratings: 10,334",78%,American Me,90%
Rotten,15,"User Ratings: 40,059",20%,Rock-a-Doodle,55%
Rotten,40,"User Ratings: 7,172",23%,A Stranger Among Us,39%
Rotten,17,"User Ratings: 42,559",41%,Hellraiser III: Hell on Earth,36%
Fresh,32,"User Ratings: 7,637",84%,Enchanted April,83%
DNE,N/A,Ratings: Not yet available,,Class Act,
Rotten,26,"User Ratings: 5,247",58%,Mr. Saturday Night,38%
Fresh,26,"User Ratings: 7,465",69%,Trespass,47%
Rotten,52,"User Ratings: 335,079",35%,Buffy the Vampire Slayer,43%
DNE,N/A,Ratings: Not yet available,,Rapid Fire,
Rotten,32,"User Ratings: 19,249",25%,Memoirs of an Invisible Man,32%
Rotten,17,"User Ratings: 6,229",53%,City of Joy,75%
Fresh,40,"User Ratings: 34,560",60%,School Ties,69%
Rotten,16,"User Ratings: 18,558",13%,Ladybugs,42%
Rotten,17,"User Ratings: 14,291",18%,Freejack,25%
Rotten,23,"User Ratings: 38,579",22%,Pet Sematary Two,31%
Rotten,16,User Ratings: 205,44%,Used People,39%
Rotten,18,"User Ratings: 10,337",28%,Kuffs,47%
Fresh,24,"User Ratings: 48,651",79%,Juice,90%
Rotten,16,"User Ratings: 9,419",13%,Mr. Baseball,41%
Fresh,16,"User Ratings: 187,284",63%,FernGully - The Last Rainforest,64%
Rotten,35,"User Ratings: 9,672",57%,Raising Cain,41%
Rotten,11,"User Ratings: 7,103",36%,Straight Talk,58%
Rotten,27,"User Ratings: 56,878",30%,Toys,39%
DNE,N/A,Ratings: Not yet available,,Consenting Adult,
Rotten,16,"User Ratings: 5,522",44%,Shining Through,73%
DNE,N/A,Ratings: Not yet available,,A Leap of Faith,
Rotten,22,"User Ratings: 47,989",23%,Captain Ron,52%
Fresh,17,"User Ratings: 12,136",88%,Thunderheart,75%
Fresh,24,"User Ratings: 10,757",63%,Prelude to a Kiss,39%
Fresh,65,"User Ratings: 134,110",74%,Candyman,61%
Certified Fresh,65,"User Ratings: 13,656",94%,Howards End,82%
Certified Fresh,48,"User Ratings: 122,218",75%,The Muppet Christmas Carol,86%
Rotten,25,"User Ratings: 9,648",52%,Hoffa,59%
Rotten,26,"User Ratings: 7,589",54%,Final Analysis,36%
Certified Fresh,64,"User Ratings: 20,586",98%,The Player,84%
Rotten,22,"User Ratings: 202,488",32%,3 Ninjas,53%
Rotten,16,"User Ratings: 26,645",25%,Stephen King's 'Sleepwalkers',31%
Rotten,41,"User Ratings: 47,102",34%,The Lawnmower Man,31%
Fresh,32,"User Ratings: 28,372",63%,Honeymoon in Vegas,35%
Rotten,31,"User Ratings: 70,140",29%,Universal Soldier,46%
Rotten,34,"User Ratings: 124,811",15%,Encino Man,56%
Rotten,25,"User Ratings: 8,994",16%,Mo' Money,51%
Certified Fresh,45,"User Ratings: 67,828",80%,A River Runs Through It,83%
Rotten,25,"User Ratings: 56,262",24%,Passenger 57,37%
Rotten,16,"User Ratings: 12,841",13%,The Distinguished Gentleman,35%
Rotten,48,"User Ratings: 39,071",54%,Single White Female,44%
Rotten,30,"User Ratings: 278,432",23%,The Mighty Ducks,65%
Certified Fresh,52,"User Ratings: 39,320",79%,Sneakers,80%
Certified Fresh,56,"User Ratings: 109,372",86%,My Cousin Vinny,87%
Fresh,33,"User Ratings: 9,678",73%,Unlawful Entry,48%
Rotten,20,"User Ratings: 196,205",40%,"Honey, I Blew Up the Kid",24%
Rotten,34,"User Ratings: 59,790",47%,Far and Away,62%
Certified Fresh,67,"User Ratings: 31,804",94%,The Crying Game,78%
Certified Fresh,207,"User Ratings: 249,388",95%,Hero,87%
Rotten,26,"User Ratings: 52,914",8%,Stop! Or My Mom Will Shoot,21%
Fresh,48,"User Ratings: 47,197",63%,The Hand that Rocks the Cradle,61%
Certified Fresh,54,"User Ratings: 161,758",76%,White Men Can't Jump,68%
Rotten,19,"User Ratings: 39,842",37%,Housesitter,47%
DNE,N/A,Ratings: Not yet available,,Forever Young,
DNE,N/A,Ratings: Not yet available,,Comme Un Boomerang,
Certified Fresh,67,"User Ratings: 366,933",78%,A League of Their Own,84%
Rotten,48,"User Ratings: 174,080",52%,Death Becomes Her,61%
Fresh,28,"User Ratings: 63,971",79%,Under Siege,62%
Rotten,54,"User Ratings: 338,942",43%,Alien3,47%
DNE,N/A,Ratings: Not yet available,,Unforgiven,
Fresh,39,"User Ratings: 70,678",72%,Patriot Games,73%
Certified Fresh,51,"User Ratings: 461,959",84%,Wayne's World,84%
DNE,N/A,User Ratings: 565,,Dracula,39%
Fresh,26,"User Ratings: 726,254",73%,Sister Act,65%
Certified Fresh,63,"User Ratings: 325,334",83%,A Few Good Men,89%
Certified Fresh,81,"User Ratings: 641,067",79%,Batman Returns,73%
Fresh,47,"User Ratings: 238,804",60%,Lethal Weapon 3,61%
